APPOINTMENT_ODU_ID,PRACTICE_ODU_ID,PRACTICE_NAME,PATIENT_ODU_ID,RESOURCE_ODU_ID,APPOINTMENT_DATE,APPOINTMENT_DATETIME,DURATION,PIMS_SOURCE,PIMS_SCHEDULE_TYPE,PIMS_STATUS,NOTES,APPOINTMENT_TYPE,IS_CANCELED_APPOINTMENT,ODU_IS_DELETED,CREATED_DATE,APPT_DATE,TOTAL_AMOUNT,TOTAL_QTY,ANY_INCLINIC,ANY_REVENUE,TXN_COUNT,NO_SHOW,LEAD_TIME_HOURS,DAY_OF_WEEK,HOUR_OF_DAY,MONTH,WEEKDAY_NUM,IS_WEEKEND,IS_MORNING_SLOT,IS_AFTERNOON_SLOT,IS_EVENING_SLOT,DURATION_MIN,PREV_APPT_DATE,DAYS_SINCE_LAST_APPT,PAST_NOSHOW_RATE,RESOURCE_NOSHOW_RATE,PRACTICE_NOSHOW_RATE,IS_MONTH_START,IS_MONTH_END
19259-1359,1359-location,Emergency Care Hospital,14161-1359,12-1359,2025-01-21,2025-01-21 09:30:00,15,Appointment,Tech appts,Kept,"Solensia injection_x000D_
_x000D_
1/18/2025 9:01 AM: Confirmed via PetDesk",Professional Services,False,False,2025-01-02,2025-01-21,86.0,2.0,True,True,2.0,False,465.5,Tuesday,9,1,1,False,True,False,False,15,,,,0.023668639053254437,0.1589310829817159,False,False
19325-1359,1359-location,Emergency Care Hospital,14161-1359,12-1359,2025-01-27,2025-01-27 12:30:00,30,Appointment,Examination,Kept,"vomiting since Saturday evening_x000D_
lethargic_x000D_
Eating",Professional Services,False,False,2025-01-27,2025-01-27,587.3100000000001,14.22,True,True,10.0,False,12.5,Monday,12,1,0,False,False,True,False,30,2025-01-21 09:30:00,6.0,0.0,0.023668639053254437,0.1589310829817159,False,False
19331-1359,1359-location,Emergency Care Hospital,14161-1359,12-1359,2025-01-29,2025-01-29 08:00:00,15,Appointment,Tech appts,Kept,"SQF, get weight and send oral cerenia",Professional Services,False,False,2025-01-28,2025-01-29,77.42,3.0,True,True,3.0,False,32.0,Wednesday,8,1,2,False,True,False,False,15,2025-01-27 12:30:00,1.0,0.0,0.023668639053254437,0.1589310829817159,False,False
193323-1359,1359-location,Emergency Care Hospital,14161-1359,86-1359,2025-01-31,2025-01-31 10:00:00,15,Appointment,,Kept,SQF,Professional Services,False,False,2025-01-29,2025-01-31,48.5,1.0,True,True,1.0,False,58.0,Friday,10,1,4,False,True,False,False,15,2025-01-29 08:00:00,2.0,0.0,0.08421052631578947,0.1589310829817159,False,True
193324-1359,1359-location,Emergency Care Hospital,14161-1359,12-1359,2025-02-03,2025-02-03 10:00:00,15,Appointment,Euthanasia,Kept,"Euthanasia_x000D_
_x000D_
1/31/2025 9:03 AM: Confirmed via PetDesk",Professional Services,False,False,2025-01-29,2025-02-03,446.0,2.0,True,True,2.0,False,130.0,Monday,10,2,0,False,True,False,False,15,2025-01-31 10:00:00,3.0,0.0,0.023668639053254437,0.1589310829817159,False,False
192916-1359,1359-location,Emergency Care Hospital,14173-1359,1-1359,2025-01-17,2025-01-17 13:30:00,15,Appointment,Tech appts,Late,Solensia. check nails- ONLY trim if needed,Professional Services,False,False,2024-12-17,2025-01-17,76.5,1.0,True,True,1.0,False,757.5,Friday,13,1,4,False,False,True,False,15,,,,0.046357615894039736,0.1589310829817159,False,False
192764-1359,1359-location,Emergency Care Hospital,14173-1359,8-1359,2025-01-20,2025-01-20 12:00:00,15,Appointment,Tech appts,Rescheduled,Solensia and nails,Professional Services,False,False,2024-12-17,2025-01-20,0.0,,False,False,,True,828.0,Monday,12,1,0,False,False,True,False,15,2025-01-17 13:30:00,2.0,0.0,0.8625592417061612,0.1589310829817159,False,False
192184-1359,1359-location,Emergency Care Hospital,14173-1359,8-1359,2025-01-21,2025-01-21 13:30:00,15,Appointment,Tech appts,Rescheduled,Solensia and nails,Professional Services,False,False,2024-12-17,2025-01-21,0.0,,False,False,,True,853.5,Tuesday,13,1,1,False,False,True,False,15,2025-01-20 12:00:00,1.0,0.5,0.8625592417061612,0.1589310829817159,False,False
19324-1359,1359-location,Emergency Care Hospital,14173-1359,8-1359,2025-01-31,2025-01-31 14:30:00,30,Appointment,Examination,Cancelled,Wants AM; Having trouble walking; vomiting; Is eating and drinking water okay,Professional Services,True,False,2025-01-27,2025-01-31,0.0,,False,False,,True,110.5,Friday,14,1,4,False,False,True,False,30,2025-01-21 13:30:00,10.0,0.6666666666666666,0.8625592417061612,0.1589310829817159,False,True
192969-1359,1359-location,Emergency Care Hospital,14173-1359,86-1359,2025-02-11,2025-02-11 12:00:00,30,Appointment,Tech appts,Kept,Nails,Professional Services,False,False,2025-01-17,2025-02-11,32.17,2.0,True,True,2.0,False,612.0,Tuesday,12,2,1,False,False,True,False,30,2025-01-31 14:30:00,10.0,0.75,0.08421052631578947,0.1589310829817159,False,False
193239-1359,1359-location,Emergency Care Hospital,14173-1359,8-1359,2025-02-14,2025-02-14 14:00:00,30,Appointment,Examination,Rescheduled,Wants AM; Having trouble walking; vomiting; Is eating and drinking water okay,Professional Services,False,False,2025-01-27,2025-02-14,0.0,,False,False,,True,446.0,Friday,14,2,4,False,False,True,False,30,2025-02-11 12:00:00,3.0,0.6,0.8625592417061612,0.1589310829817159,False,False
194458-1359,1359-location,Emergency Care Hospital,14173-1359,1-1359,2025-02-15,2025-02-15 10:45:00,30,Appointment,Euthanasia,Kept,Euth,Professional Services,False,False,2025-02-15,2025-02-15,379.25,3.0,True,True,3.0,False,10.75,Saturday,10,2,5,True,True,False,False,30,2025-02-14 14:00:00,0.0,0.6666666666666666,0.046357615894039736,0.1589310829817159,False,False
19347-1359,1359-location,Emergency Care Hospital,15299-1359,12-1359,2025-02-03,2025-02-03 12:30:00,60,Appointment,Euthanasia,Late,HOME EUTH. Ashes back,Professional Services,False,False,2025-01-31,2025-02-03,497.66,2.0,True,True,2.0,False,84.5,Monday,12,2,0,False,False,True,False,60,,,,0.023668639053254437,0.1589310829817159,False,False
192779-1359,1359-location,Emergency Care Hospital,15323-1359,5-1359,2025-01-13,2025-01-13 11:30:00,30,Appointment,Tech appts,Kept,Wants PM; cerenia because it makes her hungry and she's not wanting to eat much right now - see note in computer from 1/10/25,Professional Services,False,False,2025-01-10,2025-01-13,381.0,3.0,True,True,3.0,False,83.5,Monday,11,1,0,False,True,False,False,30,,,,0.023316062176165803,0.1589310829817159,False,False
192882-1359,1359-location,Emergency Care Hospital,15329-1359,1-1359,2025-01-15,2025-01-15 09:30:00,30,Appointment,Examination,Kept,"Urinating and defecating outside box. No eating, drinking more, acting off.",Professional Services,False,False,2025-01-14,2025-01-15,447.5,4.0,True,True,4.0,False,33.5,Wednesday,9,1,2,False,True,False,False,30,,,,0.046357615894039736,0.1589310829817159,False,False
19316-1359,1359-location,Emergency Care Hospital,15329-1359,1-1359,2025-01-24,2025-01-24 14:15:00,15,Appointment,Tech appts,Late,Solensia inj,Professional Services,False,False,2025-01-22,2025-01-24,91.0,1.0,True,True,1.0,False,62.25,Friday,14,1,4,False,False,True,False,15,2025-01-15 09:30:00,9.0,0.0,0.046357615894039736,0.1589310829817159,False,False
19329-1359,1359-location,Emergency Care Hospital,15329-1359,1-1359,2025-02-21,2025-02-21 17:00:00,15,Appointment,Tech appts,Kept,"Solensia_x000D_
_x000D_
2/18/2025 4:07 PM: Confirmed via PetDesk",Professional Services,False,False,2025-01-27,2025-02-21,91.0,1.0,True,True,1.0,False,617.0,Friday,17,2,4,False,False,False,True,15,2025-01-24 14:15:00,28.0,0.0,0.046357615894039736,0.1589310829817159,False,False
19453-1359,1359-location,Emergency Care Hospital,1613-1359,5-1359,2025-02-24,2025-02-24 09:00:00,15,Appointment,Examination,Kept,,Professional Services,False,False,2025-02-18,2025-02-24,531.0,6.0,True,True,6.0,False,153.0,Monday,9,2,0,False,True,False,False,15,,,,0.023316062176165803,0.1589310829817159,False,False
194531-1359,1359-location,Emergency Care Hospital,1614-1359,5-1359,2025-02-24,2025-02-24 09:15:00,15,Appointment,Examination,Kept,,Professional Services,False,False,2025-02-18,2025-02-24,113.5,3.0,True,True,3.0,False,153.25,Monday,9,2,0,False,True,False,False,15,,,,0.023316062176165803,0.1589310829817159,False,False
192895-1359,1359-location,Emergency Care Hospital,16447-1359,12-1359,2025-01-16,2025-01-16 12:00:00,30,Appointment,Examination,Kept,"Not doing well_x000D_
Qol exam",Professional Services,False,False,2025-01-15,2025-01-16,352.09000000000003,3.6,True,True,4.0,False,36.0,Thursday,12,1,3,False,False,True,False,30,,,,0.023668639053254437,0.1589310829817159,False,False
